Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PV,Hair Salon,KER CRISTALLISTE MASQ 200ML V935,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,KER CRISTALLISTE SOIN COND 200ML,KERASTASE,2,1,25.90,41.92,37.72,35.84
PV,Hair Salon,KER DENSIFIQUE BOOSTER 120ML A21 BLANCO ampollas,KERASTASE,10,10,52.00,84.16,75.74,71.95
PV,Hair Salon,KER DENSIFIQUE CONCENTRADO 10*12ML A21 BLANCO ampollas,KERASTASE,19,10,8.01,12.96,11.67,11.08
PV,Hair Salon,KER DISCIPLINE BOOSTER 120ML A21 MELON ampollas,KERASTASE,8,10,52.00,84.16,75.74,71.95
PV,Hair Salon,KER INITIALISTE 60ML V434,KERASTASE,4,1,42.70,69.11,62.19,59.09
PV,Hair Salon,KER MASKERATINE DISCIPLINE 200ML V935,KERASTASE,0,1,44.85,72.58,65.33,62.06
PV,Hair Salon,KER MASKERATINE DISCIPLINE 200ML V935,KERASTASE,2,1,44.85,72.58,65.33,62.06
PV,Hair Salon,"KER NUT BOOSTER IONIUM 15X0,4ML AMPOLLAS naranja",KERASTASE,1,10,2.34,3.79,3.41,3.24
PV,Hair Salon,KER NUT ELIXIR ULTIME DORADO 125ML,KERASTASE,4,1,28.90,46.77,42.09,39.99
PV,Hair Salon,KER NUT NUTRI THERMIQUE FONDANT 200ML,KERASTASE,2,1,26.90,43.53,39.18,37.22
PV,Hair Salon,KER NUT NUTRI THERMIQUE FONDANT 200ML,KERASTASE,2,1,25.90,41.92,37.72,35.84
PV,Hair Salon,KER NUT NUTRI THERMIQUE MASQUE 200ML,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,KER NUT NUTRI THERMIQUE MASQUE 200ML,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,KER NUT PROTOC SOIN N3 20*2ML F47 CONCENTRADO NARANJA ampollas,KERASTASE,19,10,2.49,4.03,3.63,3.45
PV,Hair Salon,KER NUTR BAIN MAGISTRAL 250ML VD47,KERASTASE,3,1,22.80,36.90,33.21,31.55
PV,Hair Salon,KER NUTR FONDANT MAGISTRAL 200ML,KERASTASE,2,1,26.90,43.53,39.18,37.22
PV,Hair Salon,KER NUTRI BAIN SATIN 1 250ML VA21,KERASTASE,1,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER NUTRI BAIN SATIN 1 250ML VA21,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER NUTRI BAIN SATIN 2 250ML VA21,KERASTASE,3,1,21.90,35.44,31.90,30.30
PV,Hair Salon,KER NUTRI LAIT VITAL 200ML VA21,KERASTASE,3,1,25.90,41.92,37.72,35.84
PV,Hair Salon,KER NUTRITIVE BOOSTER 120ML A21 NARANJA ampollas,KERASTASE,3,10,52.00,84.16,75.74,71.95
PV,Hair Salon,"KER REF BOOSTER REFLECTION 15X0,4ML AMPOLLAS fucsia",KERASTASE,11,10,2.34,3.79,3.41,3.24
PV,Hair Salon,KER REF FUSIO CONCENTRADO PIXELIST 15X12ML AMPOLLAS fucsia,KERASTASE,9,10,8.33,13.49,12.14,11.53
PV,Hair Salon,KER REFLECTION BOOSTER 120ML A21 FUCSIA ampollas,KERASTASE,10,10,52.00,84.16,75.74,71.95
PV,Hair Salon,KER RES BAIN DE FORCE ARCHITECT 250ML,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,"KER RES BOOSTER FORCE CERAMIDAS 15X0,4ML verde ampollas",KERASTASE,13,10,2.34,3.79,3.41,3.24
PV,Hair Salon,KER RES FIBRE ARCHITECT 2X15ML,KERASTASE,4,1,29.70,48.07,43.26,41.10
PV,Hair Salon,KER RESISTANCE BOOSTER 120ML A21 VERDE ampollas,KERASTASE,6,10,52.00,84.16,75.74,71.95
